# Puzzle từ kho mở Lichess (CC0) — sinh bởi tool/build_puzzles.dart
# id|fen|các nước UCI|elo|chủ đề
5fAOp|3r4/2R2p2/2P1pkp1/7p/4KP1P/6P1/8/8 w - - 1 40|c7d7 d8d7 c6d7 f6e7|947|crushing,endgame,rookEndgame,short
KZlKQ|8/1p2p3/p2p1k2/P1pP1P1q/2P1B2r/3K3p/1P5Q/7R w - - 1 41|h2e2 h5e2 d3e2 h4e4|948|advantage,attraction,endgame,short
OekZv|2kRr3/p1p2ppp/1p5q/2b5/4P3/4PN2/PPP1BKP1/3R4 b - - 1 20|e8d8 e2a6 c8b8 d1d8|948|deflection,endgame,mate,mateIn2,pillsburysMate,queensideAttack,short
CB9kI|r3kbr1/pp5p/1q2p1p1/4Nn2/8/1P1Q4/P4PPP/RN2K2R b KQq - 0 16|f8g7 d3d7 e8f8 d7f7|948|mate,mateIn2,middlegame,short
86MuH|8/7k/1p2p3/p1p1Pp1B/P1Pbq3/1P1R4/7P/6QK w - - 1 39|g1g2 e4e1 g2f1 e1f1|949|endgame,mate,mateIn2,short
kQwvB|2b3rk/p3R3/1p5r/3pR3/3P4/6P1/P4P2/6K1 b - - 1 40|h6f6 e5h5 f6h6 h5h6|950|endgame,mate,mateIn2,short
610Zx|2r5/2r5/p3k2R/3pp1p1/4p3/2P4P/5PP1/6K1 b - - 1 39|e6f5 g2g4 f5f4 h6f6|950|endgame,epauletteMate,mate,mateIn2,rookEndgame,short
IdflA|Q7/2kr2pp/p3R3/1p2Pp2/5P2/B1q5/6PP/R6K w - - 0 30|a1c1 c3c1 a3c1 d7d1|950|backRankMate,endgame,mate,mateIn2,sacrifice,short
2ToUN|r1bqk2r/ppppppb1/2n3N1/7p/3P4/3BPQ2/PPP2PPP/RN2K2R b KQkq - 0 8|f7g6 d3g6|951|mate,mateIn1,oneMove,opening
97EoV|r1b2k1r/pp3ppp/8/8/2p5/2P5/P4PPP/R1B1R1K1 b - - 0 16|b7b5 c1a3 b5b4 a3b4 f8g8 e1e8|951|backRankMate,endgame,long,mate,mateIn3
lGNo1|2k5/pp3p2/3pp2p/7q/7n/3P3N/PPPQ1PK1/4RR2 w - - 0 22|g2h2 h4f3 h2g3 f3d2|953|crushing,endgame,fork,short
VcgW2|8/2p2k2/2P2p2/3K1p1p/4pP1P/4P1P1/8/8 w - - 3 54|d5c5 f7e6 c5c4 e6d6 c4d4 d6c6|954|crushing,endgame,long,pawnEndgame,zugzwang
QuGFx|r1b2rk1/2q5/p3p1P1/1p2npN1/7Q/2PB1P2/1P1K3P/3R3R w - - 1 25|g5f7 e5f3 d2c2 f3h4|954|crushing,fork,middlegame,short
4pu4K|4r3/5k2/p5p1/1p1p2Q1/2pPrqP1/6R1/PP3PP1/R5K1 w - - 0 33|g3f3 e4e1 a1e1 e8e1|955|endgame,mate,mateIn2,short
l6OGY|r2q3k/1ppbb1p1/3p2P1/3Pp3/4P3/pPPBn1P1/P6Q/2K2N2 b - - 1 28|h8g8 h2h7 g8f8 h7h8|956|kingsideAttack,mate,mateIn2,middlegame,short
UibgG|6R1/5p2/2p5/6k1/2r4p/5P1K/8/8 b - - 3 44|g5f4 g8g4 f4f3 g4c4|956|crushing,endgame,master,rookEndgame,short,skewer
PQjHG|2r2rk1/pp4p1/4pn2/3p2Q1/8/P6n/B3N1PP/R4RqK w - - 4 30|f1g1 h3f2|957|mate,mateIn1,middlegame,oneMove,smotheredMate
0Eu6Y|7k/pb6/7p/1PB2pp1/2Pp4/3Pr3/P5PP/1N3K2 b - - 3 34|a7a6 c5d4 h8g8 d4e3|957|crushing,endgame,fork,short
52Bmf|r1bqkb1r/3p1ppp/p4n2/2pNP3/p2P4/5Q2/PPP3PP/R1B2RK1 b kq - 0 12|f6d5 f3f7|957|attackingF2F7,mate,mateIn1,middlegame,oneMove
PQkvl|6rk/2p5/1p3P1b/p3P1q1/3P3Q/P7/1P3PNK/R3R3 w - - 1 34|f6f7 g5g2|958|mate,mateIn1,middlegame,oneMove
npACw|1br2rk1/1p3pp1/p6p/8/2bP4/P3BB1P/1P1Q1PPq/2R1RK2 w - - 3 22|f3e2 h2h1|958|mate,mateIn1,middlegame,oneMove
lXBgr|5k1r/1b3p2/p1q2p2/2p1pP2/7r/1P2B1R1/P1P1Q1PP/6RK w - - 11 34|h2h3 h4h3 g3h3 h8h3|958|kingsideAttack,mate,mateIn2,middlegame,pin,short
hCjfg|r1b1k2r/ppp2pp1/8/4P2p/3b4/5B1P/PPq3P1/RNB1QK1R w kq - 6 16|e1d1 c2f2|959|mate,mateIn1,oneMove,opening
PpUTB|8/8/R3R3/1p6/2p2p2/2P2kp1/Pr6/6K1 w - - 0 50|a2a4 b2b1 e6e1 b1e1|960|endgame,mate,mateIn2,rookEndgame,short
WOYQl|4k3/2Q2r1p/1p2p1p1/2p5/8/1PN1P3/P2q2PP/R5K1 w - - 4 28|c7e5 d2f2 g1h1 f2f1 a1f1 f7f1|961|backRankMate,endgame,long,mate,mateIn3,sacrifice
j7UXQ|2kr1b1r/2p1p1p1/N4p1p/3N2n1/3P4/4P2q/PPP2P2/R1BQ1RK1 w - - 1 16|d5f4 g5f3 d1f3 h3f3|961|crushing,kingsideAttack,opening,short
RNtE8|8/5p2/4pk2/P2p2p1/1R4Pp/1P5K/1r6/8 b - - 0 43|f6e5 a5a6 b2c2 a6a7 c2c8 b4b8|962|advancedPawn,advantage,endgame,long,rookEndgame
1oxk2|4r1k1/p4pp1/1p4qp/2p5/3p3P/P2Q2P1/1PP1RP2/6K1 b - - 0 28|g6d3 e2e8 g8h7 c2d3|962|crushing,endgame,hangingPiece,intermezzo,queenRookEndgame,short
WHbbj|2R5/1p4k1/p2q2p1/4pp2/1P1n2Q1/P5P1/5P2/6K1 w - - 0 40|g4g5 d4f3 g1g2 f3g5|967|crushing,endgame,fork,short
j7UsL|b7/p4R1p/6pk/2p5/2B1nPP1/1Pp1r2P/P6K/8 b - - 0 27|e4d2 g4g5 h6h5 f7h7|968|deflection,endgame,mate,mateIn2,short
EMc36|6k1/2r2p1p/P1Pb2p1/8/4R3/4P2P/6P1/6K1 b - - 0 32|c7c6 e4e8 g8g7 a6a7|968|advancedPawn,advantage,endgame,short
FghVy|1r5k/2R1q1pp/1P6/r4p2/2Qp4/2nP1B2/5PPP/R5K1 w - - 0 32|c7e7 a5a1 f3d1 a1d1 e7e1 d1e1|968|backRankMate,hangingPiece,long,mate,mateIn3,middlegame
atXpF|8/8/1R5p/6pk/8/2r4P/6PK/8 b - - 7 42|c3e3 g2g4 h5h4 b6h6|968|deflection,endgame,mate,mateIn2,rookEndgame,short
h9eYJ|8/Q7/3q4/1p1p1pk1/1PnPpN1p/4P2P/5KP1/8 b - - 3 40|d6b4 a7g7|969|endgame,mate,mateIn1,oneMove
NLDv2|R7/6p1/4np1k/4p2P/2K1P1P1/8/8/8 w - - 13 56|c4d5 e6c7 d5d6 c7a8|969|crushing,endgame,fork,short
5GN9X|r2q1rk1/pp1bbpp1/1np1p2p/3nP3/3PN2P/3Q1NB1/PPB2PP1/3R1RK1 b - - 14 17|d5b4 e4f6 g7f6 d3h7|969|clearance,kingsideAttack,mate,mateIn2,middlegame,sacrifice,short
kQtmy|3Rr1k1/p1p1Prpp/1p6/8/7q/4Q3/PPP3PP/1K5R b - - 2 22|h4e7 d8e8 e7e8 e3e8|969|crushing,endgame,fork,short,xRayAttack
m9Cjx|3r2k1/p5bp/1p4p1/2pbq3/3r4/1P3BN1/P4QPP/4RR1K b - - 1 25|e5f6 f3d5 d4d5 f2f6 g7f6 f1f6|969|advantage,discoveredAttack,kingsideAttack,long,master,middlegame
NLoKd|r2qr3/1b3pkp/1p3np1/p1pPpN2/P1P5/3B4/1P1Q1PPP/R4RK1 b - - 1 18|g7f8 d2h6 f8g8 h6g7|969|mate,mateIn2,middlegame,short
B5Ofe|5rk1/ppq2p1p/1n1bpP2/3p4/3P4/1NB3N1/PPr3PP/3Q1RK1 b - - 2 22|c2c3 d1g4 g8h8 g4g7|970|kingsideAttack,mate,mateIn2,middlegame,short
6Sg53|4rk2/pppR1bp1/5p1p/5B2/1P6/P5P1/6P1/6K1 b - - 3 36|e8c8 d7f7 f8f7 f5c8|970|advantage,discoveredAttack,endgame,short
OkutM|3r1rk1/1p3ppp/p1n4q/4p3/2b1P3/2P3P1/PP2QP1P/R3KB1R w KQ - 0 18|e2c4 h6d2|970|mate,mateIn1,middlegame,oneMove
XYqai|r4rk1/1N3qp1/p1P1p3/1pRp2p1/1Q1P4/4P3/6PP/2R3K1 w - - 1 27|c6c7 f7f2 g1h1 f2f1 c1f1 f8f1|972|backRankMate,long,mate,mateIn3,middlegame,sacrifice
eAbD1|r2qkb1r/4ppp1/2p1Q2p/1p2N3/3P4/P5B1/1P2B1PP/R4nK1 b kq - 0 17|f7e6 e2h5 g7g6 h5g6|972|mate,mateIn2,middlegame,short
IT74C|8/1R3bk1/5p1p/3p2p1/8/Q6P/3q1KP1/8 w - - 14 47|f2g3 d2f4|973|endgame,mate,mateIn1,oneMove
ZD6B3|r4r2/p4p1R/2pQ2k1/4n3/6N1/8/PPP3P1/1K1nq3 b - - 2 25|g6h7 d6h6 h7g8 g4f6|973|mate,mateIn2,middlegame,short
PQjtV|8/2K2k2/5r2/1P2R3/8/5p2/8/8 w - - 12 66|b5b6 f3f2 b6b7 f2f1q|973|advancedPawn,crushing,endgame,promotion,rookEndgame,short
geiFV|6k1/6pp/p3p3/6P1/3n3P/PqP1QP2/8/1K5R w - - 1 41|b1c1 b3c2|975|endgame,mate,mateIn1,oneMove
7wxA2|Q7/6k1/8/8/K2q4/1P6/8/8 w - - 9 71|b3b4 d4a1 a4b3 a1a8|975|crushing,endgame,queenEndgame,short,skewer
iWtZz|r1bq2k1/pp4pp/2p1prn1/8/3PQ3/2P3P1/P3P1BP/1RB2RK1 w - - 0 18|c1g5 f6f1 b1f1 d8g5|975|advantage,discoveredAttack,kingsideAttack,middlegame,short
bysvw|1r4rk/4bp1p/p2Nq1p1/np1Rp3/4P1QP/2P3R1/PP3PP1/2K2B2 b - - 0 22|e7d6 g4e6 f7e6 d5d6|977|advantage,capturingDefender,intermezzo,middlegame,short
KZnld|4r1k1/6pp/8/4Pp2/4n3/P6P/1PN1R1P1/7K w - - 1 34|b2b4 e4g3 h1g1 g3e2|977|advantage,endgame,fork,short
iSTNM|8/5K2/4R3/3k4/7r/8/8/8 w - - 6 66|f7e7 h4h7 e7f6 h7h6 f6f5 h6e6|977|crushing,endgame,long,rookEndgame
JIHIt|r1bq1rk1/1pp2pp1/p6p/3pPn2/3P1n2/2QB1N2/PP1N1PPP/R4RK1 w - - 6 15|d3f5 f4e2 g1h1 e2c3|977|crushing,fork,middlegame,short
9B0S5|8/5pk1/p1p4p/3p2pP/6br/P1R3N1/1PP3P1/6K1 b - - 10 39|g4h5 g3f5 g7g8 f5h4|977|advantage,endgame,fork,short
6HIph|8/5Rpk/7p/5Q2/8/1p4PP/3qrP1K/8 b - - 1 41|h7g8 f7f8|978|endgame,mate,mateIn1,oneMove
ZW7Fn|3r1rk1/pb2bppp/2p5/q3N3/4pP2/6R1/PPP3PP/R1BQ2K1 w - - 0 17|d1g4 a5e1|978|mate,mateIn1,middlegame,oneMove
lU7e6|5r1k/2R2ppp/pQ2p3/4P3/8/5N2/P3qPPP/3r1RK1 w - - 1 25|c7c1 e2f1|979|mate,mateIn1,middlegame,oneMove
1ngTW|5rk1/q6p/2Rp1p2/1p4p1/4PQ2/P2P4/1r3PPP/R5K1 w - - 0 38|f4d6 a7f2 g1h1 f2g2|980|endgame,mate,mateIn2,short
7wvLk|1br2rk1/1p4p1/p1n1p2p/6B1/3P1p1R/P2Q1B1P/1P3PPq/R4K2 w - - 0 21|g5h6 h2h1 f1e2 h1a1|980|crushing,middlegame,short,skewer
R1UgA|rnb2k2/7p/2p1p3/p2n2P1/3P3Q/3q4/P5PP/5RK1 b - - 1 24|f8g7 h4h6 g7h8 f1f8|980|killBoxMate,mate,mateIn2,middlegame,short
lXCAc|r1kqr3/3b2Q1/p1p5/2bpB3/8/P3P3/2K2PRP/1R6 b - - 4 29|a8b8 b1b8|980|mate,mateIn1,middlegame,oneMove,operaMate,queensideAttack
mQCWJ|r5nr/pp1k1ppp/4p3/3pP3/1b1q4/2N1B3/PPQ2PPP/R3K2R b KQ - 3 12|d4e5 c2a4 d7d8 a4b4|980|crushing,fork,middlegame,short
PIqxj|r3k2r/ppp1npBp/1bn1p3/7b/4N3/1P3P2/P1P1BNPP/3R1RK1 b kq - 0 15|h8g8 e4f6|981|mate,mateIn1,middlegame,oneMove
U6bzk|1rb2k1r/4bPpp/p2p4/6P1/1qnNP3/1PN1B3/2PQ3P/2KR3R w - - 1 22|b3c4 b4b2|981|mate,mateIn1,middlegame,oneMove
akOMc|8/8/8/8/6p1/p7/B2K2kP/8 w - - 4 55|d2e3 g2h2 a2d5 g4g3|981|bishopEndgame,crushing,endgame,short
1PX4u|8/1pn4p/p2k2p1/3p2N1/4p3/2PKP2P/P4PP1/8 w - - 0 28|d3d4 c7b5|981|endgame,knightEndgame,mate,mateIn1,oneMove
R1Wai|8/5k2/7p/3NK2b/7P/8/8/8 b - - 13 71|f7g6 d5f4 g6h7 f4h5|981|crushing,deflection,endgame,master,short
1ox3o|r3k2r/pp2qp1p/2n3p1/3Q4/1b1P4/2N1P1P1/PP2KPB1/R6R w kq - 1 15|d5b3 c6d4 e2f1 d4b3|982|crushing,master,middlegame,pin,short
T0vhb|1k1r3r/p1pnq1b1/1p4pp/3b1p2/3Np2P/1B2P1B1/PP2QPP1/1K1R3R b - - 1 18|d5b3 d4c6 b8b7 c6e7|984|crushing,fork,middlegame,short
aD8Ct|1r4k1/2p2ppp/3b1q2/p7/2Q5/1P5P/P4PP1/3R1RK1 w - - 0 22|c4a6 d6h2 g1h2 f6a6|984|advantage,discoveredAttack,endgame,short
Zfsge|8/2R1r1kp/4pNp1/1p6/p2r4/P7/1P3PPP/4R1K1 b - - 0 32|e7c7 f6e8 g7f7 e8c7|985|endgame
W3Yrj|rn2kb2/ppN1pNp1/2p1P2r/3n3p/6q1/7p/PPQ2PP1/2RR2K1 b q - 1 21|d5c7 d1d8|986|hookMate,master,mate,mateIn1,middlegame,oneMove
Kh0sq|7k/6p1/1rBp2P1/1N5p/4Pp2/p7/R6P/6K1 w - - 5 39|b5d4 b6b1 g1f2 b1b2 f2f3 b2a2|987|advantage,endgame,long
m6YX4|8/p4k1p/1p4p1/r3R1P1/4PPKP/8/8/8 w - - 1 46|e5a5 b6a5 g4f3 a5a4|987|crushing,defensiveMove,endgame,master,short
RXtKp|r4r2/2p3pk/p1Q2b2/3p4/3P4/2P2R2/P1P3PP/R1B1q1K1 w - - 1 18|f3f1 f6d4 c3d4 f8f1|987|discoveredAttack,kingsideAttack,mate,mateIn2,middlegame,short
RJoEF|2b5/4b1p1/p2rpk1p/2p1Np2/5N2/P2P2PP/2P5/4R1K1 b - - 16 37|g7g5 f4h5|987|endgame,mate,mateIn1,oneMove
7PxrT|r3k2r/pb1pbppp/p3p1q1/2p4n/3P4/1P2PN2/PBPN1PPP/R2Q1RK1 w kq - 9 11|f3e5 g6g2|988|kingsideAttack,mate,mateIn1,middlegame,oneMove
5wLbI|r4rk1/5pp1/p2p3p/1pp1p1q1/2P1Pn2/PB1PQP2/NP3bbK/R1B3R1 w - - 0 21|e3f2 g5h5 f2h4 h5h4|988|mate,mateIn2,middlegame,short
ZW5IS|r3r3/p2q1p2/2p2pk1/1p1p3p/3QPPpP/P1PP2N1/1P4P1/4R1K1 b - - 1 29|a8d8 f4f5 g6h6 d4f6|988|crushing,deflection,endgame,short
97GK3|r4rk1/1pq1ppbp/p1bp2p1/4n3/3BPP2/1NN5/PPP3PP/R2QR1K1 b - - 0 16|e5c4 d4g7 g8g7 d1d4|989|attraction,crushing,kingsideAttack,middlegame,short
cWfwS|5rk1/1p5p/3p2p1/p2Pp3/1P2bb2/PRr1p2n/4N1P1/2BQRBqK w - - 3 29|e2g1 h3f2|989|master,mate,mateIn1,middlegame,oneMove
0V7Ho|r4r2/pp4p1/3p2k1/2b2pNn/8/2N5/PPPB2PP/R4R1K w - - 0 20|g5e6 h5g3 h2g3 f8h8 d2h6 h8h6|989|long,mate,mateIn3,middlegame,pillsburysMate,sacrifice
7Aw0V|r4rk1/1ppbqppp/p1n1p3/3n3Q/1P1PN3/P2BP3/5PPP/R4RK1 b - - 3 14|d5f6 e4f6 g7f6 h5h7|989|kingsideAttack,mate,mateIn2,middlegame,short
kQvRO|R6R/8/5kp1/8/7K/1r6/6P1/8 w - - 1 58|g2g4 g6g5 h4h5 b3h3|990|endgame,master,mate,mateIn2,rookEndgame,short
6IhG6|8/2p2r2/p5pk/1p2P2p/1Pr1P2P/4KPR1/1R6/8 w - - 0 37|f3f4 c4c3 e3d4 c3g3|990|crushing,endgame,rookEndgame,short,skewer
j7UCk|2rR2k1/5pp1/2b3p1/1p2Pq2/p7/P4N1P/3Q2P1/7K b - - 5 33|c8d8 d2d8 g8h7 f3g5 f5g5 d8g5|991|crushing,endgame,long,master
gDhuX|r4rk1/p1p4p/2Q3R1/4q3/5p1P/2P5/P4P1K/6R1 b - - 0 28|h7g6 c6g6 e5g7 g6g7|991|endgame,mate,mateIn2,short
3NqON|8/8/8/P7/1P3k2/8/K5n1/8 b - - 0 63|f4e5 a5a6 g2e3 a6a7 e3d5 a7a8q|992|advancedPawn,crushing,endgame,knightEndgame,long,promotion
DU5Et|8/RQ3p2/4p1k1/3pn1p1/3q4/5P1P/KR6/8 w - - 1 49|b2e2 d4c4 a2a1 c4e2|992|advantage,endgame,fork,master,short
gMRF9|r3k2r/pp2bppp/6b1/1Npp3n/7P/P1NnPPPq/1P1PK1B1/R1BQ4 w kq - 0 15|g2h3 h5g3|993|mate,mateIn1,middlegame,oneMove
dfTv1|8/2k5/2p5/p3P3/5p2/1P2pB1r/4K3/8 b - - 2 46|c7d7 f3g4 d7e7 g4h3 a5a4 b3a4|993|crushing,endgame,fork,long
6HID2|R7/p1r4p/1p4pk/8/1n3NPP/8/2P5/6K1 b - - 0 38|c7f7 g4g5 h6g7 f4e6|993|endgame,mate,mateIn2,short
mrXqk|r1b1k1nr/ppp2Npp/8/2bp4/2B1P3/2N5/PPQP1qPP/R1BK3R w kq - 0 10|c4d5 c8g4 c3e2 f2e2|994|mate,mateIn2,opening,short
5tLUh|8/pk5R/1pp5/3n2p1/4B3/8/r7/4K1B1 b - - 1 34|b7a6 e4d3 a6a5 h7a7 a5b4 a7a2|994|crushing,deflection,endgame,long,skewer
ibwLk|4r1k1/pp3rp1/2p2NQp/4p3/3q1p2/3P4/PP5P/1K2n1R1 b - - 1 28|f7f6 g6g7|995|endgame,mate,mateIn1,oneMove
0EuOw|2rr1k2/4q1n1/5pQ1/8/1N6/1P6/1P4PP/1K2R3 w - - 0 39|e1e7 d8d1 b1a2 c8a8 e7a7 a8a7 b4a6 a7a6|995|endgame,mate,mateIn4,veryLong
MsdQ6|4k3/8/4BQp1/1p5p/1b1p3n/N2P2PP/1P4q1/4K3 w - - 7 32|e1d1 g2d2|995|endgame,master,mate,mateIn1,oneMove
iSTgM|r4r1k/pb1nq1pp/1p1b4/2p2p1Q/2BPpP1N/1P2P3/P5PP/R1B2RK1 b - - 1 17|c5d4 h4g6|995|mate,mateIn1,middlegame,oneMove,pin
jbvvf|2b1rN1k/6p1/4p1Qp/1p6/3q1P2/2nB4/6PP/R6K b - - 1 31|c3e4 g6h7|996|mate,mateIn1,middlegame,oneMove
TLGUs|r7/1R3pkp/6p1/4b3/1P6/5BP1/5P1P/rR4K1 w - - 1 26|f3e4 a1b1 e4b1 a8a1 g1g2 a1b1|996|clearance,crushing,endgame,long,pin
YqOxi|rn1q1bnr/pp4pb/2p1pk2/4N1p1/3P2Q1/8/PPP2P1P/R1B1KB1R b KQ - 1 11|h7f5 g4g5|997|mate,mateIn1,middlegame,oneMove
lRdTH|8/4r1pp/1p3k2/p1pP1r2/2P1RK2/1P5P/1P4P1/4R3 w - - 1 37|f4e3 e7e4 e3e4 f5e5 e4d3 e5e1|997|attraction,crushing,endgame,exposedKing,long,rookEndgame,skewer
Zfrln|7k/pppq2p1/6Qp/8/2P1B2P/3KP3/PP3rP1/7R w - - 1 34|d3c3 d7d2 c3b3 d2b2 b3a4 b2a2|997|advantage,deflection,endgame,long
mQE5B|8/7Q/5q2/4p1kp/4B1n1/3P2P1/P3r3/4K2R w K - 13 42|e1e2 f6f2 e2d1 g4e3 d1c1 f2c2|997|endgame,long,mate,mateIn3
byrOt|6k1/p4p2/6p1/q2PBP1p/1n5P/1Pp2P2/2P5/1K2R2R w - - 1 31|e5c3 a5a2 b1c1 a2c2|998|endgame,mate,mateIn2,short
CBClu|2b1rnk1/1p2bppp/1qp1p3/4P1N1/1P1PB2P/r5P1/2Q2PK1/1R5R b - - 2 25|h7h6 e4h7 f8h7 c2h7 g8f8 h7h8|998|kingsideAttack,long,mate,mateIn3,middlegame
4pvgh|8/p3kp2/2p1p3/1p1r1n2/4R3/2P2P1N/PP1K2P1/8 w - - 9 29|d2e2 f5g3 e2e1 g3e4|999|crushing,endgame,fork,short
mF9ko|2r2r2/k4p2/1p6/3pQp2/8/2P3P1/6K1/8 b - - 1 35|c8c5 e5e7 a7a6 e7f8|999|advantage,endgame,fork,queenRookEndgame,short
59GCj|4r1k1/3q3p/1n3P1p/p1p1Q3/1p1P3P/8/PPP2P2/2K3R1 b - - 1 27|g8h8 f6f7 e8e5 f7f8q|999|advancedPawn,deflection,discoveredAttack,discoveredCheck,endgame,mate,mateIn2,promotion,short
ZD5kI|N1k4r/Bp2ppbp/2p5/4N3/2P1nP2/8/P1n3PP/3R2K1 b - - 0 22|g7e5 a8b6 c8c7 d1d7|1000|mate,mateIn2,middlegame,pillsburysMate,queensideAttack,short
1oxuE|6k1/3b1pp1/p3q2p/2R5/8/P3PQPP/1P3P1K/8 w - - 4 33|g3g4 e6d6 h2g1 d6c5|1001|advantage,endgame,fork,master,short
Xu195|5rk1/ppN1pp1p/6p1/8/8/1P1P1P2/b1n3PP/R3K1NR w K - 1 18|e1d2 c2a1 g1e2 a1b3|1002|advantage,hangingPiece,middlegame,short
QuHbE|7r/1p1q1rk1/p6p/2Pp2R1/1P1P1p2/PB3K2/8/6QR b - - 0 37|h6g5 g1g5 g7f8 h1h8|1002|deflection,endgame,mate,mateIn2,short
gMOxT|8/8/2Pk4/p7/P2n1p1p/5B1P/5KP1/8 b - - 5 48|d4c6 f3c6 d6c6 f2f3 c6c5 f3f4|1005|crushing,endgame,long,master
BXEHQ|r2qk2r/pp1nbppp/3p4/1Bpb4/4PB2/3Q4/PPP2PPP/R3K2R w KQkq - 0 12|d3d5 d8a5 d5d2 a5b5|1005|advantage,fork,middlegame,short
lnxCh|r2r2k1/pp2qppp/5n2/5b2/2N5/1P1B4/P4PPP/2RQR1K1 b - - 8 19|d8d3 e1e7 d3d1 c1d1|1005|advantage,middlegame,short
lnzVV|6k1/ppp3p1/2p3r1/7N/3B3P/2P4K/PP4r1/5R2 w - - 3 31|h5f4 g6g3|1005|blindSwineMate,endgame,mate,mateIn1,oneMove
8UP5e|4K3/8/8/1p6/5kN1/2P5/8/8 b - - 0 73|f4g4 e8d7 g4f4 d7c6 f4e4 c6b5|1006|crushing,endgame,long,pawnEndgame
WfWO0|r2q4/ppp1p2p/2n2nkB/3p2N1/3P4/3B3b/PPP2PPP/R3K2R b KQ - 3 15|g6h6 g5f7 h6g7 f7d8 a8d8 g2h3|1006|advantage,fork,long,middlegame
VchMz|2b5/8/6k1/1P1p4/1K1P1b2/3N2p1/8/8 b - - 1 52|g3g2 d3f4 g6f5 f4g2|1006|crushing,endgame,hangingPiece,short
ko8QE|5q1k/6p1/p1Q4p/1p6/PP6/2P2rP1/7P/4R1K1 b - - 0 33|b5a4 e1e8 h8h7 e8f8|1007|crushing,endgame,pin,short
j7XAv|8/8/3P1pr1/6kp/8/3K1R2/8/8 b - - 0 60|g6g7 f3g3 g5h6 g3g7 h6g7 d6d7|1007|advancedPawn,crushing,endgame,long,master,rookEndgame
T0xRN|r2k3r/pppqb1Np/8/nQ1n4/8/8/PPP2PPP/RNB1K2R w KQ - 1 14|b5a5 e7b4 a5b4 d5b4|1008|crushing,fork,middlegame,short
MsaxZ|8/3k4/4pKp1/4Pb1p/2N2P1P/1p6/8/8 b - - 11 58|d7c6 c4a5 c6d5 a5b3|1009|advantage,endgame,short
ZD7ID|r3k2r/ppp2ppp/3p4/4p1q1/2B1Pn2/2NPBP1b/PPP2P1P/R2QR2K w kq - 5 13|e1g1 h3g2 g1g2 g5g2|1009|kingsideAttack,mate,mateIn2,middlegame,short
4GjXz|8/6k1/1p2Bp1R/1p1p4/bPrP1B2/8/2n2KP1/8 w - - 7 43|e6d5 c4d4 h6h4 d4d5|1009|advantage,endgame,fork,short
XYrkF|3rr3/k1p2ppp/qp6/2bn4/R3Q3/8/PP3PPP/4R1K1 b - - 5 21|a6a4 e4a4 a7b7 e1e8 d8e8 a4e8|1010|advantage,discoveredAttack,hangingPiece,long,middlegame
npAsv|rr6/6R1/2p1N2p/2B1P1p1/6Pk/2P2p1P/1p5K/8 b - - 1 45|b2b1q c5f2|1015|endgame,mate,mateIn1,oneMove
GCJ4v|3r2k1/p1p2ppp/2p1b3/8/4Qp2/2NP1P2/1q5P/2RKR3 w - - 6 26|e1e2 e6b3 d1e1 b2c1|1016|crushing,deflection,middlegame,short
KzVSb|r7/P5k1/3p1q2/8/r3p3/6QP/5PP1/5RK1 b - - 6 49|g7f7 g3b3 f7g6 b3a4|1017|crushing,endgame,fork,short
ZD6d0|4rr1k/3R4/1p4pp/p2R1p2/P7/2P1n2P/1PB3PK/8 w - - 0 33|d5d2 e3f1 h2g1 f1d2|1019|crushing,endgame,fork,master,short
T0wGg|rnb3k1/ppp4p/6p1/4r3/2P1p3/7P/PPB2PP1/2KR3R b - - 1 15|b7b6 d1d8 g8f7 d8c8|1020|advantage,fork,middlegame,short
lBPVN|8/4Rkpp/5p2/2Bb1P2/6PK/2r4P/8/8 b - - 2 47|f7g8 e7e8 g8f7 e8f8|1020|endgame,mate,mateIn2,operaMate,short
4fa5h|r1b2rk1/ppq2ppp/2n1p3/2b5/4B3/1P3Q2/PBP2PPP/2KR2NR w - - 4 12|f3h3 c7f4 c1b1 f4e4|1020|crushing,fork,opening,short
2l7yb|2kn1r2/1pp5/q3p1N1/5p1Q/P2P4/2P3r1/6P1/R3R1K1 b - - 1 26|a6c6 g6e7 c8b8 e7c6|1021|advantage,fork,master,middlegame,short
lBMzF|5rkr/1Q3p2/p4Ppp/1p4q1/3b3P/5B2/PPP3P1/R6K w - - 0 27|h4g5 h6g5 f3h5 h8h5|1021|discoveredAttack,discoveredCheck,endgame,master,mate,mateIn2,pillsburysMate,short
MsbJA|8/4r2p/6pk/p7/1p1n1P2/2P5/PPB3R1/1K6 w - - 0 44|c3d4 e7e1 c2d1 e1d1 b1c2 d1d4|1021|crushing,endgame,long
mF9hA|4r3/p1pR3R/2p2Pk1/2b3B1/5PP1/8/P1K2r2/8 w - - 7 26|c2d3 e8e3 d3c4 f2c2|1022|endgame,mate,mateIn2,pillsburysMate,short
E0mFr|3r1k1Q/1ppb1rp1/p3p2p/3nP3/P3Bq2/7P/1B3PP1/R4RK1 b - - 2 29|f8e7 b2a3 d5b4 a3b4 c7c5 b4c5|1025|long,mate,mateIn3,middlegame
0JNcF|4r2r/p1p2ppp/2n5/5P2/R3N3/8/1PkR1K2/8 b - - 5 30|c2b3 e4c5|1025|cornerMate,endgame,mate,mateIn1,oneMove
